System,N,R,FramesMeasured,AvgFrameTimeMs,StdDevFrameTimeMs,AvgGCBytes,AvgRedundancyPct
A_Polling,50,0.01,300,0.0576,0.0149,2839.9,98.44
B_Events,50,0.01,300,0.0065,0.0013,81.9,23.22
C_Reactive,50,0.01,300,0.0063,0.001,54.6,23.22
D_RCG,50,0.01,300,0.011,0.0014,68.3,22
A_Polling,50,0.1,300,0.0438,0.0085,3427,92.18
B_Events,50,0.1,300,0.0121,0.0019,218.5,22.8
C_Reactive,50,0.1,300,0.0134,0.0023,341.3,23.09
D_RCG,50,0.1,300,0.0202,0.009,95.6,22.98
A_Polling,50,0.5,300,0.0463,0.0135,0,61.66
B_Events,50,0.5,300,0.0366,0.0067,0,23.2
C_Reactive,50,0.5,300,0.0408,0.0099,0,22.57
D_RCG,50,0.5,300,0.0506,0.0098,0,23.18
A_Polling,50,1,300,0.0461,0.0077,0,22.69
B_Events,50,1,300,0.0634,0.0125,1433.6,23.06
C_Reactive,50,1,300,0.071,0.0225,2771.6,23.07
D_RCG,50,1,300,0.0788,0.0143,3508.9,23.01
A_Polling,100,0.01,300,0.0786,0.0162,6389.8,99.23
B_Events,100,0.01,300,0.0065,0.0012,68.3,23.33
C_Reactive,100,0.01,300,0.006,0.0009,68.3,23.44
D_RCG,100,0.01,300,0.0107,0.0015,0,21.11
A_Polling,100,0.1,300,0.0849,0.015,0,92.27
B_Events,100,0.1,300,0.0208,0.0046,0,23.21
C_Reactive,100,0.1,300,0.0214,0.0042,0,22.38
D_RCG,100,0.1,300,0.0305,0.0037,0,22.51
A_Polling,100,0.5,300,0.0805,0.011,0,61.5
B_Events,100,0.5,300,0.0648,0.0116,0,22.87
C_Reactive,100,0.5,300,0.0699,0.0174,0,23.28
D_RCG,100,0.5,300,0.0847,0.0134,0,22.76
A_Polling,100,1,300,0.079,0.0164,4137,23.08
B_Events,100,1,300,0.3156,3.494,-73168.2,22.98
C_Reactive,100,1,300,0.1348,0.0304,0,23.06
D_RCG,100,1,300,0.1688,0.0231,0,23
A_Polling,500,0.01,300,0.3406,0.0613,0,99.23
B_Events,500,0.01,300,0.0127,0.0024,177.5,23.38
C_Reactive,500,0.01,300,0.0138,0.0018,218.5,22.89
D_RCG,500,0.01,300,0.0195,0.0036,0,24.02
A_Polling,500,0.1,300,0.3636,0.0751,0,92.31
B_Events,500,0.1,300,0.0657,0.0138,0,23.11
C_Reactive,500,0.1,300,0.0729,0.0156,0,23.46
D_RCG,500,0.1,300,0.0925,0.0177,0,23.13
A_Polling,500,0.5,300,0.4006,0.231,16124.6,61.53
B_Events,500,0.5,300,0.2653,0.0625,0,23
C_Reactive,500,0.5,300,0.336,0.0738,13.7,22.83
D_RCG,500,0.5,300,0.4291,0.3202,12042.2,23.06
A_Polling,500,1,300,0.3671,0.0722,0,22.99
B_Events,500,1,300,0.5345,0.1084,22555.3,23
C_Reactive,500,1,300,0.5937,0.1063,31976.1,22.91
D_RCG,500,1,300,0.8003,0.1167,0,22.99
